project_name,unit_title,price,location,listing_date,property_type,size,bedrooms,bathrooms,rental_period,description,language,keywords,facilities
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM214,200","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,400 Sqft",4,2,,"This property is a 1,400 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM214,200 (RM153/Sqft...",en,"Property,Malaysia,For Sale",
,"3 Bedroom House for sale in Ulu Telom, Pahang","RM157,000","Ulu Telom, Cameron Highlands, Pahang, Malaysia",,House,"1,399 Sqft",3,2,,"This property is a 1,399 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Telom, Pahang and was completed in Jan 2023. You can buy this house for a...",en,"Property,Malaysia,For Sale",Electricity; Water
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM444,625","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,"2,386 Sqft",4,4,,"This property is a 2,386 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM444,625 (RM186/...",en,"Property,Malaysia,For Sale",
Aranda Nova,3 Bedroom Condo for sale at Aranda Nova,"RM450,000","Ulu Telom, Cameron Highlands, Pahang, Malaysia",listed 2 weeks ago,Condo,"1,054 Sqft",3,2,,"This property is a 1,054 Sqft condo with 3 bedrooms and 2 bathrooms that is available for sale. It is part of the Aranda Nova project in Ulu Telom, Pahang. You can buy this condo for a base price...",en,"Property,Malaysia,For Sale",Balcony
,"4 Bedroom Villa for sale in Kedawang, Kedah","RM14,900,000","Kedawang, Langkawi, Kedah, Malaysia",,Villa,"6,146 Sqft",4,5,,"Sitting majestically on the hill side of a 10 million year old rainforrest, the luxuriously pivate Villa Hutan Datai is only a 35minute drive away from Langkawi International Airport.The peaceful nort...",en,"Property,Malaysia,For Sale",Beachfront; Private Pool; Fully Renovated
,"6 Bedroom House for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM427,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,House,"3,000 Sqft",6,5,,"This property is a 3,000 Sqft house with 6 bedrooms and 5 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this house for a base price of RM42...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom Condo for sale in Putrajaya, Putrajaya","RM480,000","Putrajaya, Putrajaya, Putrajaya, Malaysia",,Condo,N/A,3,2,,"This property is a 0 Sqft condo with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this condo for a base price of RM480,000 ().",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Heating
,"2 Bedroom Condo for sale in Bentong, Pahang","RM378,629","Bentong, Bentong, Pahang, Malaysia",,Condo,500 Sqft,2,2,,"This property is a 500 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bentong, Pahang. You can buy this condo for a base price of RM378,629 (RM755/Sqft).",en,"Property,Malaysia,For Sale",Air Conditioning
KL Gateway Premium Residences,2 Bedroom Condo for sale at KL Gateway Premium Residences,"RM1,090,000","Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",listed 2 weeks ago,Condo,"1,200 Sqft",2,2,,"This property is a 1,200 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is part of the KL Gateway Premium Residences project in Kuala Lumpur, Kuala Lumpur and was...",en,"Property,Malaysia,For Sale",Balcony
Perdana Residence,2 Bedroom Apartment for sale at Perdana Residence,"RM460,000","Padang Masirat, Langkawi, Kedah, Malaysia",Updated 3 weeks ago,Apartment,"1,060 Sqft",2,2,,"Set within Perdana Residences - a four store condominium - the duplex- apartment on the top floor has livingroom and american kitchen, master bedroom and attached bathroom, bedroom/guestroom with a se...",en,"Property,Malaysia,For Sale",Beachfront; Oceanfront; Covered Parking
,"1 Bedroom Condo for sale in Bandar Melaka, Melaka","RM900,000","Bandar Melaka, Melaka Tengah Central Malacca, Melaka, Malaysia",,Condo,327 Sqft,1,1,,"This property is a 327 Sqft condo with 1 bedroom and 1 bathroom that is available for sale. It is located in Bandar Melaka, Melaka. You can buy this condo for a base price of RM900,000 (RM2,740/S...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"Land for sale in Putrajaya, Putrajaya","RM632,256","Putrajaya, Putrajaya, Putrajaya, Malaysia",,Land,"76,467 Sqft",,,,"This property is a 76,467 Sqft land plot that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this land for a base price of RM632,256 (RM8/Sqft).",en,"Property,Malaysia,For Sale",
,"Land for sale in Bentong, Pahang","RM750,000","Bentong, Bentong, Pahang, Malaysia",,Land,"1,115,916 Sqft",,,,"This property is a 1,115,916 Sqft land plot that is available for sale. It is located in Bentong, Pahang. You can buy this land for a base price of RM750,000 (RM1/Sqft).",en,"Property,Malaysia,For Sale",
