price,area_sqft,bedrooms,bathrooms,location,listing_type,property_type
550.0,1120.0,1.0,1.0,Panji,rent,Penthouse
900.0,882.0,3.0,2.0,Kota Kinabalu,rent,Penthouse
500.0,1103.0,1.0,1.0,Putrajaya,rent,Penthouse
500.0,552.0,1.0,1.0,Kota Kinabalu,rent,Penthouse
600.0,748.0,1.0,1.0,Sibu,rent,Penthouse
500.0,253.0,1.0,1.0,Kuching,rent,Penthouse
500.0,650.0,1.0,1.0,Putrajaya,rent,Penthouse
780.0,719.0,2.0,2.0,Padang Masirat,rent,Penthouse
700.0,719.0,2.0,1.0,Putrajaya,rent,Condo
500.0,519.0,1.0,1.0,Putrajaya,rent,Condo
500.0,421.0,1.0,1.0,Bandaraya Georgetown,rent,Condo
700.0,760.0,2.0,1.0,Padang Masirat,rent,Penthouse
500.0,540.0,1.0,1.0,Putrajaya,rent,Penthouse
500.0,602.0,1.0,1.0,Bandaraya Georgetown,rent,Penthouse
500.0,650.0,1.0,1.0,Bandaraya Georgetown,rent,Penthouse
450.0,400.0,1.0,1.0,Bandaraya Georgetown,rent,Penthouse
500.0,750.0,1.0,1.0,Padang Masirat,rent,Penthouse
400.0,855.0,1.0,1.0,Bandaraya Georgetown,rent,Condo
450.0,550.0,1.0,1.0,Kuching,rent,Penthouse
450.0,540.0,1.0,1.0,Bandar Melaka,rent,Penthouse
500.0,264.0,1.0,1.0,Kuching,rent,Penthouse
780.0,719.0,1.0,1.0,Padang Masirat,rent,Penthouse
2310.0,550.0,1.0,1.0,Kota Kinabalu,rent,Condo
293000000.0,225.0,1.0,1.5,Bukit Baru,rent,Penthouse
2100.0,22.0,2.0,1.0,Bukit Baru,rent,Penthouse
1680.0,22.0,1.0,1.0,Bukit Baru,rent,Penthouse
4210.0,6633.0,1.0,1.0,Bukit Baru,rent,Penthouse
3360.0,552.0,1.0,1.0,Bukit Baru,rent,Penthouse
3360.0,22.0,1.0,1.5,Bandar Kuala Lumpur,rent,Penthouse
700.0,770.0,1.0,1.5,Bandar Seremban,rent,Penthouse
500.0,625.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
1680.0,22.0,1.0,1.0,Bukit Baru,rent,Penthouse
1680.0,221.0,1.0,1.0,Bukit Baru,rent,Penthouse
500.0,650.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
350.0,778.0,1.0,1.0,Bandar Kuala Lumpur,rent,Condo
1680.0,65.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
1680.0,500.0,1.0,1.0,Bukit Baru,rent,Penthouse
550.0,450.0,1.0,1.0,Labu,rent,Condo
600.0,650.0,1.0,1.0,Panji,rent,Penthouse
470.0,470.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
500.0,670.0,1.0,1.0,Bandar Melaka,rent,Penthouse
2100.0,223.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
580.0,699.0,1.0,1.0,Bandar Melaka,rent,Penthouse
500.0,650.0,1.0,1.0,Bandar Petaling Jaya,rent,Penthouse
2100.0,22.0,1.0,1.5,Bandar Kuala Lumpur,rent,Penthouse
2100.0,33.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
2100.0,223.0,1.0,1.5,Bandar Kuala Lumpur,rent,Penthouse
2100.0,221.0,1.0,1.5,Bandar Kuala Lumpur,rent,Condo
700.0,760.0,2.0,1.0,Kuching,rent,Penthouse
680.0,519.0,1.0,1.0,Labu,rent,Penthouse
2100.0,225.0,1.0,1.5,Bandar Kuala Lumpur,rent,Penthouse
2100.0,253.0,1.0,1.0,Bandar Kuala Lumpur,rent,Apartment
479000000.0,552.0,1.0,1.5,Bandar Kuala Lumpur,rent,Penthouse
3320.0,77.0,1.0,1.5,Bandar Kuala Lumpur,rent,Penthouse
500.0,750.0,1.0,1.0,Pulai,rent,Penthouse
500.0,689.0,1.0,1.0,Bandaraya Georgetown,rent,Penthouse
1850.0,221.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
2100.0,50.0,1.0,1.0,Padang Masirat,rent,Penthouse
3360.0,28.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
245000000.0,222.0,1.0,1.0,Bandar Kuala Lumpur,rent,Condo
600.0,750.0,1.0,1.0,Kuching,rent,Penthouse
2520.0,70.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
2940.0,77.0,1.0,1.0,Bandar Kuala Lumpur,rent,Condo
29000.0,223.0,1.0,1.0,Bandar Kuala Lumpur,rent,Condo
1890.0,552.0,1.0,1.0,Bandar Kuala Lumpur,rent,Condo
2100.0,70.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
2100.0,221.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
3360.0,223.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
1680.0,552.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
3360.0,55.0,1.0,1.0,Bandar Kuala Lumpur,rent,Condo
967.0,70.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
5050.0,60.0,2.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
600.0,750.0,1.0,1.0,Bandar Kuala Lumpur,rent,Penthouse
